columna,familia,dtype,dtype_general,n_null,null_pct,n_unique,unique_pct,es_constante,uso_sugerido,motivo,min,p25,median,mean,p75,max,std
infys_secc_sitios_c2004_2009_derivado_mun_errorprecisionaux_mean_20042009,infys,float64,numeric,9131,0.031255,17,5.8e-05,0,excluir,"columna auxiliar, trazabilidad, conteo de válidos o código técnico",0.0,0.0,0.0055917986952469,0.021544865885547694,0.037037037037037,0.1417910447761194,0.03616293997034035
infys_secc_sitios_c2004_2009_derivado_mun_errorprecisionaux_valid_count_20042009,infys,float64,numeric,9131,0.031255,31,0.000106,0,excluir,"columna auxiliar, trazabilidad, conteo de válidos o código técnico",4.0,296.0,1073.0,1324.9567549423175,1829.0,5299.0,1285.6114010225476
infys_secc_sitios_c2004_2009_derivado_mun_n_registros_20042009,infys,float64,numeric,9131,0.031255,31,0.000106,0,excluir,"columna auxiliar, trazabilidad, conteo de válidos o código técnico",68.0,818.0,1827.0,2505.623369786054,3424.0,10162.0,2262.950559808488
infys_secc_sitios_c2004_2009_derivado_mun_numsitio_mean_20042009,infys,float64,numeric,9131,0.031255,31,0.000106,0,excluir,"columna auxiliar, trazabilidad, conteo de válidos o código técnico",2.27190332326284,2.428132205995388,2.465790914066776,2.4481791256076955,2.479264018691589,2.5,0.04503998388007739
infys_secc_sitios_c2004_2009_derivado_mun_numsitio_valid_count_20042009,infys,float64,numeric,9131,0.031255,31,0.000106,0,excluir,"columna auxiliar, trazabilidad, conteo de válidos o código técnico",68.0,818.0,1827.0,2505.623369786054,3424.0,10162.0,2262.950559808488
infys_secc_sitios_c2004_2009_derivado_mun_x_mean_20042009,infys,float64,numeric,9131,0.031255,31,0.000106,0,excluir,"columna auxiliar, trazabilidad, conteo de válidos o código técnico",-115.1084483630426,-104.0096806948004,-99.93095076000002,-100.51982848878521,-97.95142469734346,-88.16341420961231,6.205246638262734
infys_secc_sitios_c2004_2009_derivado_mun_x_valid_count_20042009,infys,float64,numeric,9131,0.031255,31,0.000106,0,excluir,"columna auxiliar, trazabilidad, conteo de válidos o código técnico",68.0,818.0,1827.0,2505.365408193912,3424.0,10162.0,2262.741003606692
infys_secc_sitios_c2004_2009_derivado_mun_y_mean_20042009,infys,float64,numeric,9131,0.031255,31,0.000106,0,excluir,"columna auxiliar, trazabilidad, conteo de válidos o código técnico",16.437395350140605,19.05634034035572,20.67323254102146,21.737324753517207,24.5985720853217,30.46396328693748,3.652957731604708
infys_secc_sitios_c2004_2009_derivado_mun_y_valid_count_20042009,infys,float64,numeric,9131,0.031255,31,0.000106,0,excluir,"columna auxiliar, trazabilidad, conteo de válidos o código técnico",68.0,818.0,1827.0,2505.365408193912,3424.0,10162.0,2262.741003606692
infys_secc_sitios_c2009_2014_derivado_mun_conglomerado_mean_20092014,infys,float64,numeric,9131,0.031255,31,0.000106,0,excluir,"columna auxiliar, trazabilidad, conteo de válidos o código técnico",5424.599510104103,35984.37969783993,51903.03472222222,48865.2750460285,62053.321411309815,74898.94458007812,18041.664444281785
infys_secc_sitios_c2009_2014_derivado_mun_conglomerado_valid_count_20092014,infys,float64,numeric,9131,0.031255,31,0.000106,0,excluir,"columna auxiliar, trazabilidad, conteo de válidos o código técnico",36.0,803.0,2070.0,2680.5239969612917,4096.0,10362.0,2403.7544800723163
infys_secc_sitios_c2009_2014_derivado_mun_consenial_mean_20092014,infys,float64,numeric,18262,0.06251,24,8.2e-05,0,excluir,"columna auxiliar, trazabilidad, conteo de válidos o código técnico",0.9733009708737864,0.9938309685379396,0.9983579638752051,0.995224596393762,0.9997354497354496,1.0,0.00674203321263376
