fuente,grupo_fuente,formato,ruta,campo,es_critico,tipo_original,n_registros_fuente,nulos,pct_nulos,cardinalidad,ejemplos
incendios_2015,serie_anual_shp_evento,shp,C:\Users\Hp\OneDrive\Documentos\PT_Analisis\01_raw-data\conafor\incendios_2015\incendios_2015.shp,estado_de,no,object,1105,0,0.0,31,Zacatecas
incendios_2015,serie_anual_shp_evento,shp,C:\Users\Hp\OneDrive\Documentos\PT_Analisis\01_raw-data\conafor\incendios_2015\incendios_2015.shp,fechainic,si,datetime64[ms],1105,0,0.0,186,2015-02-28 | 2015-03-04 | 2015-03-24 | 2015-03-27 | 2015-03-31
incendios_2015,serie_anual_shp_evento,shp,C:\Users\Hp\OneDrive\Documentos\PT_Analisis\01_raw-data\conafor\incendios_2015\incendios_2015.shp,fechaliq,no,datetime64[ms],1105,0,0.0,190,2015-02-28 | 2015-03-04 | 2015-03-24 | 2015-03-27 | 2015-04-01
incendios_2015,serie_anual_shp_evento,shp,C:\Users\Hp\OneDrive\Documentos\PT_Analisis\01_raw-data\conafor\incendios_2015\incendios_2015.shp,herbaceo,no,float64,1105,0,0.0,186,28.42 | 1.0 | 0.0 | 24.81 | 4.4
incendios_2015,serie_anual_shp_evento,shp,C:\Users\Hp\OneDrive\Documentos\PT_Analisis\01_raw-data\conafor\incendios_2015\incendios_2015.shp,hojarasca,no,float64,1105,0,0.0,107,0.0 | 0.6 | 37.47 | 33.0 | 3.0
incendios_2015,serie_anual_shp_evento,shp,C:\Users\Hp\OneDrive\Documentos\PT_Analisis\01_raw-data\conafor\incendios_2015\incendios_2015.shp,municipio,no,object,1105,0,0.0,295,Tepechitlan | Zacatecas | Nochistlan de Mejia | Valparaiso | Trinidad Garcia de la Cadena
incendios_2015,serie_anual_shp_evento,shp,C:\Users\Hp\OneDrive\Documentos\PT_Analisis\01_raw-data\conafor\incendios_2015\incendios_2015.shp,objectid,no,float64,1105,0,0.0,1105,1074.0 | 1075.0 | 1076.0 | 1077.0 | 1078.0
incendios_2015,serie_anual_shp_evento,shp,C:\Users\Hp\OneDrive\Documentos\PT_Analisis\01_raw-data\conafor\incendios_2015\incendios_2015.shp,predio,no,object,1105,0,0.0,928,Talesteipa | Cerro de La Virgen | Palo Herrado | La Capellania | Peña Blanca
incendios_2015,serie_anual_shp_evento,shp,C:\Users\Hp\OneDrive\Documentos\PT_Analisis\01_raw-data\conafor\incendios_2015\incendios_2015.shp,renuevo,no,float64,1105,0,0.0,36,0.0 | 2.0
incendios_2015,serie_anual_shp_evento,shp,C:\Users\Hp\OneDrive\Documentos\PT_Analisis\01_raw-data\conafor\incendios_2015\incendios_2015.shp,sueloorg,no,float64,1105,0,0.0,18,0.0
incendios_2015,serie_anual_shp_evento,shp,C:\Users\Hp\OneDrive\Documentos\PT_Analisis\01_raw-data\conafor\incendios_2015\incendios_2015.shp,tipo_de_im,no,object,1105,0,0.0,4,Impacto Minimo
incendios_2015,serie_anual_shp_evento,shp,C:\Users\Hp\OneDrive\Documentos\PT_Analisis\01_raw-data\conafor\incendios_2015\incendios_2015.shp,tipo_de_in,no,object,1105,0,0.0,4,Superficial
incendios_2015,serie_anual_shp_evento,shp,C:\Users\Hp\OneDrive\Documentos\PT_Analisis\01_raw-data\conafor\incendios_2015\incendios_2015.shp,tipo_de_ve,no,object,1105,0,0.0,37,Pastizal Natural - PN | Bosque de Encino - BQ | Bosque de Encino-Pino - BQP
incendios_2016,serie_anual_shp_evento,shp,C:\Users\Hp\OneDrive\Documentos\PT_Analisis\01_raw-data\conafor\incendios_2016\incendios_2016.shp,anp,no,object,3244,0,0.0,54,0
incendios_2016,serie_anual_shp_evento,shp,C:\Users\Hp\OneDrive\Documentos\PT_Analisis\01_raw-data\conafor\incendios_2016\incendios_2016.shp,arbor_ha,no,float64,3244,0,0.0,68,0.0
incendios_2016,serie_anual_shp_evento,shp,C:\Users\Hp\OneDrive\Documentos\PT_Analisis\01_raw-data\conafor\incendios_2016\incendios_2016.shp,arbusti_ha,no,float64,3244,0,0.0,635,1.28 | 0.52 | 9.11 | 7.78 | 8.21
incendios_2016,serie_anual_shp_evento,shp,C:\Users\Hp\OneDrive\Documentos\PT_Analisis\01_raw-data\conafor\incendios_2016\incendios_2016.shp,area_ha,no,float64,3244,0,0.0,1548,8.53 | 2.75 | 37.16 | 36.26 | 27.74
incendios_2016,serie_anual_shp_evento,shp,C:\Users\Hp\OneDrive\Documentos\PT_Analisis\01_raw-data\conafor\incendios_2016\incendios_2016.shp,causa,no,object,3244,0,0.0,17,Fogatas | Fumadores | Otras causas | Intencional
